Name, Website, Pubs
Yiying Zhang 0005, https://cseweb.ucsd.edu/~yiying, 1
Jishen Zhao, https://cseweb.ucsd.edu/~jzhao, 1
Min Yang 0002, http://www.cs.fudan.edu.cn/?page_id=2665###, 40
Yuan Zhang 0009, https://yuanxzhang.github.io/, 19
Zhemin Yang, http://www.cs.fudan.edu.cn/?page_id=12009###, 13
Guangliang Yang 0001, https://yang-guangliang.github.io/, 9
Mi Zhang 0001, https://mi-zhang-fdu.github.io/index.chn.html, 7
Xiaohan Zhang 0001, https://xhzhang.github.io/, 7
Lei Zhang 0096, https://zxlfd.github.io/, 6
Geng Hong, https://ghong.site/, 5
Weili Han, http://crypto.fudan.edu.cn/people/weili, 4
Bihuan Chen 0001, https://chenbihuan.github.io/, 2
Zhe Zhou 0001, https://faculty.fudan.edu.cn/zhouzhe/zh_CN/index.htm, 2
Yun Xiong, http://www.cs.fudan.edu.cn/?page_id=1979, 1
Su Yang, http://homepage.fudan.edu.cn/suyang, 1
Kai Zhang 0006, https://kay21s.github.io/, 1
Long Lu, http://www.longlu.org/, 13
Kevin Fu, https://web.eecs.umich.edu/~kevinfu, 9
Engin Kirda, http://www.ccs.neu.edu/home/ek, 9
Abhi Shelat, https://shelat.khoury.neu.edu/, 8
Cristina Nita-Rotaru, http://www.ccis.northeastern.edu/people/cristina-nita-rotaru, 6
Guevara Noubir, http://www.ccs.neu.edu/home/noubir, 6
Alina Oprea, http://www.ccs.neu.edu/home/alina, 6
Aanjhan Ranganathan, https://www.aanjhan.com/, 6
Alan Mislove, http://www.ccs.neu.edu/home/amislove, 5
Jonathan R. Ullman, http://www.ccis.northeastern.edu/people/jonathan-ullman, 3
Ada Lerner, https://www.khoury.northeastern.edu/people/ada-lerner, 2
Xue Lin, https://web.northeastern.edu/xuelin, 2
William K. Robertson, http://www.ccis.northeastern.edu/people/william-robertson, 2
Gregory D. Abowd, https://www.khoury.northeastern.edu/people/gregory-abowd, 1
David R. Choffnes, http://david.choffnes.com/, 1
Rajmohan Rajaraman, http://www.ccs.neu.edu/home/rraj, 1
